SpeechID,Speech,Speaker,Location,Year
166,"He underpaid undocumented workers, and when they complained, he basically said what a lot of employers do: ""You complain, I'll get you deported."" I want to get everybody out of",Clinton,Nevada,2016
167,"the shadows, get the economy working, and not let employers like Donald exploit undocumented workers, which hurts them, but also hurts American workers.",Clinton,Nevada,2016
168,Mr. Trump?,Moderator,Nevada,2016
169,"President Obama has moved millions of people out. Nobody knows about it, nobody talks about it. But under Obama, millions of people have been moved out of this country. They've been deported.",Trump,Nevada,2016
170,"She doesn't want to say that, but that's what's happened, and that's what happened big league. As far as moving these people out and moving—we either have a country or we don't.",Trump,Nevada,2016
171,"We're a country of laws. We either have a border or we don't. Now, you can come back in and you can become a citizen. But it's very unfair.",Trump,Nevada,2016
172,"We have millions of people that did it the right way. They're on line. They're waiting. We're going to speed up the process, big league, because it's very inefficient.",Trump,Nevada,2016
173,"But they're on line and they're waiting to become citizens. Very unfair that somebody runs across the border, becomes a citizen, under her plan, you have open borders.",Trump,Nevada,2016
174,"You would have a disaster on trade, and you will have a disaster with your open borders.",Trump,Nevada,2016
175,I want to...,Moderator,Nevada,2016
176,But what she doesn't say is that President Obama has deported millions and millions of people just the way it is.,Trump,Nevada,2016
177,"Secretary Clinton, I want to...",Moderator,Nevada,2016
178,We will not have open borders. That is...,Clinton,Nevada,2016
179,"Well, let me—Secretary...",Moderator,Nevada,2016
180,That is a rank mischaracterization.,Clinton,Nevada,2016
181,Secretary Clinton...,Moderator,Nevada,2016
182,"We will have secure borders, but we'll also have reform. And this used to be a bipartisan issue. Ronald Reagan was the last president...",Clinton,Nevada,2016
183,"Secretary Clinton, excuse me. Secretary Clinton.",Moderator,Nevada,2016
184,"... to sign immigration reform, and George W. Bush supported it, as well.",Clinton,Nevada,2016
185,"Secretary Clinton, I want to clear up your position on this issue, because in a speech you gave to a Brazilian bank, for which you were paid $225,000, we've learned",Moderator,Nevada,2016
186,"from the WikiLeaks, that you said this, and I want to quote. ""My dream is a hemispheric common market with open trade and open borders."" So that's the question...",Moderator,Nevada,2016
187,Thank you.,Trump,Nevada,2016
188,"That's the question. Please quiet, everybody. Is that your dream, open borders?",Moderator,Nevada,2016
189,"Well, if you went on to read the rest of the sentence, I was talking about energy.",Clinton,Nevada,2016
190,"You know, we trade more energy with our neighbors than we trade with the rest of the world combined. And I do want us to have an electric grid, an energy system that crosses borders.",Clinton,Nevada,2016
191,I think that would be a great benefit to us. But you are very clearly quoting from WikiLeaks. And what's really important about WikiLeaks is that the Russian government has engaged in espionage against Americans.,Clinton,Nevada,2016
192,"They have hacked American websites, American accounts of private people, of institutions. Then they have given that information to WikiLeaks for the purpose of putting it on the Internet.",Clinton,Nevada,2016
193,"This has come from the highest levels of the Russian government, clearly, from Putin himself, in an effort, as 17 of our intelligence agencies have confirmed, to influence our election.",Clinton,Nevada,2016
194,"So I actually think the most important question of this evening, Chris, is, finally, will Donald Trump admit and condemn that the Russians are doing this and make it clear",Clinton,Nevada,2016
195,"that he will not have the help of Putin in in this election, that he rejects Russian espionage against Americans, which he actually encouraged in the past? Those are the questions we need answered.",Clinton,Nevada,2016
196,We've never had anything like this happen in any of our elections before.,Clinton,Nevada,2016
197,Well?,Moderator,Nevada,2016
198,"That was a great pivot off the fact that she wants open borders, OK? How did we get on to Putin?",Trump,Nevada,2016
199,"Hold on—hold on, wait. Hold on, folks. Because we—this is going to end up getting out of control. Let's try to keep it quiet so—for the candidates and for the American people.",Moderator,Nevada,2016
200,So just to finish on the borders...,Trump,Nevada,2016
201,Yes?,Moderator,Nevada,2016
202,She wants open borders. People are going to pour into our country. People are going to come in from Syria.,Trump,Nevada,2016
203,"She wants 550 percent more people than Barack Obama, and he has thousands and thousands of people. They have no idea where they come from.",Trump,Nevada,2016
204,"And you see, we are going to stop radical Islamic terrorism in this country. She won't even mention the words, and neither will President Obama.",Trump,Nevada,2016
205,"So I just want to tell you, she wants open borders. Now we can talk about Putin. I don't know Putin. He said nice things about me.",Trump,Nevada,2016
206,"If we got along well, that would be good. If Russia and the United States got along well and went after ISIS, that would be good. He has no respect for her.",Trump,Nevada,2016
207,He has no respect for our president.,Trump,Nevada,2016
208,"And I'll tell you what: We're in very serious trouble, because we have a country with tremendous numbers of nuclear warheads—1,800, by the way—where they expanded and we didn't, 1,800 nuclear warheads.",Trump,Nevada,2016
209,"And she's playing chicken. Look, Putin...",Trump,Nevada,2016
210,"Wait, but...",Moderator,Nevada,2016
211,"... from everything I see, has no respect for this person.",Trump,Nevada,2016
212,"Well, that's because he'd rather have a puppet as president of the United States.",Clinton,Nevada,2016
213,No puppet. No puppet.,Trump,Nevada,2016
214,And it's pretty clear...,Clinton,Nevada,2016
215,You're the puppet!,Trump,Nevada,2016
216,It's pretty clear you won't admit...,Clinton,Nevada,2016
217,"No, you're the puppet.",Trump,Nevada,2016
218,"... that the Russians have engaged in cyberattacks against the United States of America, that you encouraged espionage against our people, that you are willing to spout the Putin line,",Clinton,Nevada,2016
219,"sign up for his wish list, break up NATO, do whatever he wants to do, and that you continue to get help from him, because he has a very clear",Clinton,Nevada,2016
220,favorite in this race. So I think that this is such an unprecedented situation. We've never had a foreign government trying to interfere in our election.,Clinton,Nevada,2016
221,"We have 17—17 intelligence agencies, civilian and military, who have all concluded that these espionage attacks, these cyberattacks, come from the highest levels of the Kremlin and they are designed to influence our election.",Clinton,Nevada,2016
222,I find that deeply disturbing.,Clinton,Nevada,2016
223,Secretary Clinton...,Moderator,Nevada,2016
224,And I think it's time you take a stand...,Clinton,Nevada,2016
225,"She has no idea whether it's Russia, China, or anybody else.",Trump,Nevada,2016
226,I am not quoting myself.,Clinton,Nevada,2016
227,She has no idea.,Trump,Nevada,2016
228,I am quoting 17...,Clinton,Nevada,2016
229,"Hillary, you have no idea.",Trump,Nevada,2016
230,... 17 intelligence—do you doubt 17 military and civilian...,Clinton,Nevada,2016
231,And our country has no idea.,Trump,Nevada,2016
232,... agencies.,Clinton,Nevada,2016
233,"Yeah, I doubt it. I doubt it.",Trump,Nevada,2016
234,"Well, he'd rather believe Vladimir Putin than the military and civilian intelligence professionals who are sworn to protect us. I find that just absolutely...",Clinton,Nevada,2016
235,She doesn't like Putin because Putin has outsmarted her at every step of the way.,Trump,Nevada,2016
236,Mr. Trump...,Moderator,Nevada,2016
237,Excuse me. Putin has outsmarted her in Syria.,Trump,Nevada,2016
238,Mr. Trump...,Moderator,Nevada,2016
239,He's outsmarted her every step of the way.,Trump,Nevada,2016
240,I do get to ask some questions.,Moderator,Nevada,2016
241,"Yes, that's fine.",Trump,Nevada,2016
242,And I would like to ask you this direct question. The top national security officials of this country do believe that Russia has been behind these hacks.,Moderator,Nevada,2016
243,"Even if you don't know for sure whether they are, do you condemn any interference by Russia in the American election?",Moderator,Nevada,2016
244,By Russia or anybody else.,Trump,Nevada,2016
245,You condemn their interference?,Moderator,Nevada,2016
246,Of course I condemn. Of course I—I don't know Putin. I have no idea.,Trump,Nevada,2016
247,I'm not asking—I'm asking do you condemn?,Moderator,Nevada,2016
248,"I never met Putin. This is not my best friend. But if the United States got along with Russia, wouldn't be so bad.",Trump,Nevada,2016
249,"Let me tell you, Putin has outsmarted her and Obama at every single step of the way. Whether it's Syria, you name it. Missiles. Take a look at the ""start up"" that they signed.",Trump,Nevada,2016
250,"The Russians have said, according to many, many reports, I can't believe they allowed us to do this. They create warheads, and we can't. The Russians can't believe it. She has been outsmarted by Putin.",Trump,Nevada,2016
251,And all you have to do is look at the Middle East. They've taken over. We've spent $6 trillion. They've taken over the Middle East.,Trump,Nevada,2016
252,She has been outsmarted and outplayed worse than anybody I've ever seen in any government whatsoever.,Trump,Nevada,2016
253,"We're a long way away from immigration, but I'm going to let you finish this topic. You got about 45 seconds.",Moderator,Nevada,2016
254,And she always will be.,Trump,Nevada,2016
255,"I—I find it ironic that he's raising nuclear weapons. This is a person who has been very cavalier, even casual about the use of nuclear weapons. He's...",Clinton,Nevada,2016
256,Wrong.,Trump,Nevada,2016
257,"... advocated more countries getting them, Japan, Korea, even Saudi Arabia. He said, well, if we have them, why don't we use them, which I think is terrifying. But here's the deal.",Clinton,Nevada,2016
258,"The bottom line on nuclear weapons is that when the president gives the order, it must be followed.",Clinton,Nevada,2016
259,There's about four minutes between the order being given and the people responsible for launching nuclear weapons to do so.,Clinton,Nevada,2016
260,"And that's why 10 people who have had that awesome responsibility have come out and, in an unprecedented way, said they would not trust Donald Trump with the nuclear codes",Clinton,Nevada,2016
261,or to have his finger on the nuclear button.,Clinton,Nevada,2016
262,I have 200 generals...,Trump,Nevada,2016
263,Very quickly.,Moderator,Nevada,2016
264,"... and admirals, 21 endorsing me, 21 congressional Medal of Honor recipients. As far as Japan and other countries, we are being ripped off by everybody in the—we're defending other countries.",Trump,Nevada,2016
265,We are spending a fortune doing it. They have the bargain of the century.,Trump,Nevada,2016
266,"All I said is, we have to renegotiate these agreements, because our country cannot afford to defend Saudi Arabia, Japan, Germany, South Korea, and many other places.",Trump,Nevada,2016
267,We cannot continue to afford—she took that as saying nuclear weapons.,Trump,Nevada,2016
268,OK.,Moderator,Nevada,2016
269,"Look, she's been proven to be a liar on so many different ways. This is just another lie.",Trump,Nevada,2016
270,"Well, I'm just quoting you when you were asked...",Clinton,Nevada,2016
